temperature,humidity,timestamp,hour,day
28.5,33,2019-01-15T22:25:20.083003,10.25,15th
28.6,33,2019-01-15T22:30:21.133193,10.3,15th
28.6,36,2019-01-15T22:35:22.602770,10.35,15th
28.6,39,2019-01-15T22:40:23.965070,10.4,15th
28.6,40,2019-01-15T22:45:25.324957,10.45,15th
28.6,41,2019-01-15T22:50:26.700805,10.5,15th
28.6,41,2019-01-15T22:55:28.054333,10.55,15th
28.6,42,2019-01-15T23:00:29.421595,11,15th
28.6,42,2019-01-15T23:05:30.772130,11.05,15th
28.7,42,2019-01-15T23:10:32.134878,11.1,15th
28.7,42,2019-01-15T23:15:33.492306,11.15,15th
28.8,42,2019-01-15T23:20:34.850614,11.2,15th
28.8,43,2019-01-15T23:25:36.211837,11.25,15th
28.8,44,2019-01-15T23:30:37.573475,11.3,15th
28.9,44,2019-01-15T23:35:38.836572,11.35,15th
29,44,2019-01-15T23:40:40.195723,11.4,15th
29,44,2019-01-15T23:45:41.556966,11.45,15th
29,44,2019-01-15T23:50:42.815954,11.5,15th
29.1,44,2019-01-15T23:55:44.180580,11.55,15th
29.1,45,2019-01-16T00:00:45.646602,12,15th
29.1,45,2019-01-16T00:05:47.006176,12.05,15th
29.1,45,2019-01-16T00:10:48.374684,12.1,15th
29.2,45,2019-01-16T00:15:49.753352,12.15,15th
29.2,45,2019-01-16T00:20:51.390492,12.2,15th
29.2,45,2019-01-16T00:25:52.796286,12.25,15th
29.2,45,2019-01-16T00:30:54.065551,12.3,15th
29.2,45,2019-01-16T00:35:55.025092,12.35,15th
29.2,45,2019-01-16T00:40:56.084163,12.4,15th
29.2,45,2019-01-16T00:45:57.234831,12.45,15th
29.2,46,2019-01-16T00:50:58.495477,12.5,15th
29.2,46,2019-01-16T00:55:59.861485,12.56,15th
29.3,46,2019-01-16T01:01:01.130154,1.01,16th
29.3,46,2019-01-16T01:06:02.485711,1.06,16th
29.3,46,2019-01-16T01:11:03.958731,1.11,16th
29.4,46,2019-01-16T01:16:05.326975,1.16,16th
